run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.96875,0.37563490867614746
0,fuzzy-opf,22,0.915,0.9735294117647059,0.96875,0.218825101852417
1,opf,-,-,-,1.0,0.013738155364990234
1,fuzzy-opf,17,0.920,1.0,1.0,0.1640028953552246
2,opf,-,-,-,1.0,0.01401066780090332
2,fuzzy-opf,18,0.226,0.9714285714285714,1.0,0.16735363006591797
3,opf,-,-,-,1.0,0.014137983322143555
3,fuzzy-opf,22,0.908,1.0,1.0,0.2042229175567627
4,opf,-,-,-,0.9705128205128205,0.01362919807434082
4,fuzzy-opf,39,0.747,0.9515151515151515,0.9705128205128205,0.41913771629333496
5,opf,-,-,-,1.0,0.013985872268676758
5,fuzzy-opf,10,1.071,0.9729166666666667,1.0,0.08438563346862793
6,opf,-,-,-,0.9750445632798574,0.014956235885620117
6,fuzzy-opf,36,0.532,0.9041666666666667,0.9750445632798574,0.430295467376709
7,opf,-,-,-,1.0,0.013821125030517578
7,fuzzy-opf,4,0.980,1.0,1.0,0.04424166679382324
8,opf,-,-,-,1.0,0.01524209976196289
8,fuzzy-opf,35,1.169,1.0,1.0,0.4132382869720459
9,opf,-,-,-,1.0,0.014595508575439453
9,fuzzy-opf,1,0.702,0.9663461538461539,1.0,0.0327913761138916
10,opf,-,-,-,1.0,0.015005826950073242
10,fuzzy-opf,26,0.949,0.9729166666666667,1.0,0.25873827934265137
11,opf,-,-,-,0.9603174603174603,0.014558792114257812
11,fuzzy-opf,19,0.925,1.0,1.0,0.1889035701751709
12,opf,-,-,-,0.9695767195767195,0.014868021011352539
12,fuzzy-opf,7,0.940,1.0,0.9695767195767195,0.06062960624694824
13,opf,-,-,-,1.0,0.015501737594604492
13,fuzzy-opf,31,0.438,1.0,1.0,0.3813183307647705
14,opf,-,-,-,1.0,0.014740228652954102
14,fuzzy-opf,21,0.973,1.0,1.0,0.20146441459655762
15,opf,-,-,-,1.0,0.0136566162109375
15,fuzzy-opf,34,0.379,1.0,1.0,0.3756692409515381
16,opf,-,-,-,0.9583333333333334,0.013759136199951172
16,fuzzy-opf,10,0.723,1.0,0.9583333333333334,0.08247041702270508
17,opf,-,-,-,1.0,0.01464533805847168
17,fuzzy-opf,12,0.731,1.0,1.0,0.10684061050415039
18,opf,-,-,-,0.9464285714285714,0.013994216918945312
18,fuzzy-opf,26,0.705,0.9703703703703703,0.9464285714285714,0.25549888610839844
19,opf,-,-,-,1.0,0.01394510269165039
19,fuzzy-opf,5,0.961,1.0,1.0,0.04989314079284668
