run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.7370446668404618,49.72598838806152
0,fuzzy-opf,20,1.092,0.7559337047003937,0.754560393305042,119.15906834602356
1,opf,-,-,-,0.7511646852590782,49.59137415885925
1,fuzzy-opf,20,1.078,0.7451383303225474,0.7501728226635851,119.45372295379639
