sigma,val_accuracy,test_accuracy,fit_seconds
0.2,0.7095,0.7160,95.7
0.3,0.7095,0.7160,101.8
0.4,0.7392,0.7416,99.9
0.5,0.7390,0.7416,95.0
0.6,0.7407,0.7416,91.7
0.7,0.7326,0.7304,95.0
0.8,0.7340,0.7304,93.3
0.9,0.7340,0.7304,90.5
1.0,0.7365,0.7370,90.2
1.1,0.7525,0.7546,89.6
1.2,0.7486,0.7575,89.2
