run,method,test_accuracy,fit_seconds,best_params
13,xgboost,0.9842,2.0,{'learning_rate': 0.1; 'max_depth': 3; 'n_estimators': 200}
14,fuzzy-opf,0.7625,141.7,-
14,svm_rbf,0.9202,2.5,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
14,random_forest,0.9953,2.7,{'max_depth': None; 'n_estimators': 100}
14,knn,0.7255,0.3,{'n_neighbors': 5; 'weights': 'distance'}
14,xgboost,0.9904,2.0,{'learning_rate': 0.1; 'max_depth': 6; 'n_estimators': 200}
15,fuzzy-opf,0.6929,141.9,-
15,svm_rbf,0.8688,2.3,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
15,random_forest,0.9903,2.6,{'max_depth': 10; 'n_estimators': 100}
15,knn,0.6827,0.3,{'n_neighbors': 5; 'weights': 'distance'}
15,xgboost,0.9890,2.1,{'learning_rate': 0.05; 'max_depth': 6; 'n_estimators': 200}
16,fuzzy-opf,0.7404,142.3,-
16,svm_rbf,0.8342,2.4,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
16,random_forest,0.9910,2.7,{'max_depth': 10; 'n_estimators': 100}
16,knn,0.7117,0.3,{'n_neighbors': 3; 'weights': 'distance'}
16,xgboost,0.9877,2.0,{'learning_rate': 0.1; 'max_depth': 3; 'n_estimators': 200}
17,fuzzy-opf,0.7927,143.5,-
17,svm_rbf,0.9139,2.4,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
17,random_forest,0.9954,2.7,{'max_depth': None; 'n_estimators': 100}
17,knn,0.7325,0.3,{'n_neighbors': 5; 'weights': 'distance'}
17,xgboost,0.9906,2.1,{'learning_rate': 0.1; 'max_depth': 6; 'n_estimators': 200}
18,fuzzy-opf,0.7154,141.3,-
18,svm_rbf,0.9057,2.5,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
18,random_forest,0.9957,3.1,{'max_depth': None; 'n_estimators': 200}
18,knn,0.7329,0.3,{'n_neighbors': 5; 'weights': 'distance'}
18,xgboost,0.9851,2.1,{'learning_rate': 0.05; 'max_depth': 6; 'n_estimators': 200}
19,fuzzy-opf,0.7571,142.2,-
19,svm_rbf,0.8768,2.4,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
19,random_forest,0.9714,2.6,{'max_depth': 20; 'n_estimators': 100}
19,knn,0.7023,0.3,{'n_neighbors': 5; 'weights': 'distance'}
19,xgboost,0.9887,1.9,{'learning_rate': 0.1; 'max_depth': 6; 'n_estimators': 100}
