method,k_max,sigma,val_accuracy,test_accuracy,wall_seconds,n_evaluations
ga,20,0.9152,0.7376,0.7304,1462.5,18
pso,20,0.9152,0.7376,0.7304,1462.5,12
random,20,1.1128,0.7559,0.7543,1462.5,9
bayesian,20,1.1637,0.7559,0.7543,1462.5,9
