run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.9968944099378882,2.3504772186279297
0,fuzzy-opf,83,0.915,1.0,0.9968944099378882,27.14704155921936
1,opf,-,-,-,0.9969512195121951,1.7908689975738525
1,fuzzy-opf,63,0.920,0.9835453816870366,0.9969512195121951,18.5136559009552
2,opf,-,-,-,0.9928984351639589,1.8741655349731445
2,fuzzy-opf,66,0.226,0.9964028776978417,0.9928984351639589,19.485862731933594
3,opf,-,-,-,0.9966216216216216,1.8496594429016113
3,fuzzy-opf,83,0.908,1.0,0.9966216216216216,26.84594202041626
4,opf,-,-,-,0.9857968703279179,1.5491814613342285
4,fuzzy-opf,145,0.747,0.9959016393442623,0.9897338782019336,62.35136079788208
5,opf,-,-,-,0.9895094562647754,1.9569404125213623
5,fuzzy-opf,74,0.812,0.9864429463666105,0.9895094562647754,22.90468192100525
6,opf,-,-,-,0.9909638554216867,1.901383876800537
6,fuzzy-opf,134,0.532,0.9968553459119497,0.9909638554216867,55.72215676307678
7,opf,-,-,-,0.9908536585365854,1.8412971496582031
7,fuzzy-opf,12,0.980,0.9967320261437909,0.9908536585365854,5.246467590332031
8,opf,-,-,-,0.9938271604938271,1.9347870349884033
8,fuzzy-opf,131,0.731,0.9897724954091002,0.9938271604938271,53.429195404052734
9,opf,-,-,-,0.9846374333702101,1.8354251384735107
9,fuzzy-opf,3,0.702,0.9969135802469136,0.9887357940259479,4.443121671676636
10,opf,-,-,-,0.9853028650738574,1.860713005065918
10,fuzzy-opf,95,0.949,1.0,0.9853028650738574,32.76330828666687
11,opf,-,-,-,0.9929280397022332,1.8766975402832031
11,fuzzy-opf,70,0.925,1.0,0.9961538461538462,21.75095534324646
12,opf,-,-,-,0.9921259842519685,1.9001598358154297
12,fuzzy-opf,24,0.940,0.992731075290757,0.9960629921259843,7.1610496044158936
13,opf,-,-,-,0.9897702076194316,1.9051692485809326
13,fuzzy-opf,117,0.438,1.0,0.9897702076194316,44.456647634506226
14,opf,-,-,-,0.9864864864864865,1.9532973766326904
14,fuzzy-opf,78,0.973,1.0,0.9864864864864865,24.936060905456543
15,opf,-,-,-,0.996,1.8627874851226807
15,fuzzy-opf,127,0.379,0.9922480620155039,1.0,51.03918719291687
16,opf,-,-,-,0.9929189028026237,1.725520372390747
16,fuzzy-opf,34,0.723,0.9967741935483871,0.9929189028026237,9.341223239898682
17,opf,-,-,-,1.0,1.797546625137329
17,fuzzy-opf,45,0.731,0.9957264957264957,1.0,12.160964012145996
18,opf,-,-,-,0.996,1.9017393589019775
18,fuzzy-opf,98,0.705,0.9864764267990075,0.996,34.15211796760559
19,opf,-,-,-,0.9929754510499852,1.8406181335449219
19,fuzzy-opf,16,0.961,0.9938271604938271,0.9929754510499852,5.730564832687378
