run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.9731818181818181,0.47727179527282715
0,fuzzy-opf,66,0.915,1.0,0.9731818181818181,2.629878044128418
1,opf,-,-,-,0.9906127770534551,0.12691140174865723
1,fuzzy-opf,51,0.920,0.9859615384615384,0.9906127770534551,1.8764939308166504
2,opf,-,-,-,1.0,0.12911391258239746
2,fuzzy-opf,53,0.226,1.0,1.0,1.935401439666748
3,opf,-,-,-,0.9883870967741936,0.1278836727142334
3,fuzzy-opf,67,0.908,1.0,0.9883870967741936,2.738177537918091
4,opf,-,-,-,1.0,0.12649011611938477
4,fuzzy-opf,116,0.747,1.0,1.0,5.828763961791992
5,opf,-,-,-,1.0,0.12729287147521973
5,fuzzy-opf,27,1.071,1.0,1.0,0.85634446144104
6,opf,-,-,-,1.0,0.1328887939453125
6,fuzzy-opf,107,0.532,1.0,1.0,5.2477757930755615
7,opf,-,-,-,0.9906683480453973,0.1301422119140625
7,fuzzy-opf,10,0.980,1.0,0.9906683480453973,0.402315616607666
8,opf,-,-,-,0.9769230769230769,0.12919044494628906
8,fuzzy-opf,105,1.169,1.0,1.0,5.208650588989258
9,opf,-,-,-,1.0,0.12597155570983887
9,fuzzy-opf,2,0.702,1.0,1.0,0.2889070510864258
10,opf,-,-,-,1.0,0.12398767471313477
10,fuzzy-opf,93,0.221,0.9913186813186813,1.0,4.332218647003174
11,opf,-,-,-,1.0,0.13031411170959473
11,fuzzy-opf,22,0.219,1.0,1.0,0.7102694511413574
12,opf,-,-,-,1.0,0.1288442611694336
12,fuzzy-opf,19,0.940,1.0,1.0,0.613182544708252
13,opf,-,-,-,0.9689144037421785,0.12992596626281738
13,fuzzy-opf,94,0.438,0.9857142857142858,0.981638418079096,4.389178037643433
14,opf,-,-,-,1.0,0.12874579429626465
14,fuzzy-opf,62,0.973,1.0,1.0,2.4844696521759033
15,opf,-,-,-,0.9732758620689655,0.13075971603393555
15,fuzzy-opf,102,0.379,1.0,1.0,4.97163462638855
16,opf,-,-,-,0.9872222222222222,0.13032221794128418
16,fuzzy-opf,28,0.723,0.9839598997493735,0.9872222222222222,0.9027493000030518
17,opf,-,-,-,0.9678571428571429,0.12888455390930176
17,fuzzy-opf,36,0.731,1.0,0.9678571428571429,1.2189650535583496
18,opf,-,-,-,1.0,0.12758541107177734
18,fuzzy-opf,78,0.705,1.0,1.0,3.431298017501831
19,opf,-,-,-,0.9912698412698413,0.12636280059814453
19,fuzzy-opf,13,0.961,1.0,0.9912698412698413,0.46729350090026855
