run,method,test_accuracy,fit_seconds,best_params
13,xgboost,0.9833,0.2,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 100}
14,fuzzy-opf,1.0000,0.5,-
14,svm_rbf,1.0000,0.1,{'C': 1; 'gamma': 'scale'; 'kernel': 'rbf'}
14,random_forest,1.0000,1.5,{'max_depth': 10; 'n_estimators': 100}
14,knn,1.0000,0.0,{'n_neighbors': 5; 'weights': 'distance'}
14,xgboost,1.0000,0.2,{'learning_rate': 0.1; 'max_depth': 3; 'n_estimators': 200}
15,fuzzy-opf,0.9644,0.5,-
15,svm_rbf,0.9644,0.1,{'C': 1; 'gamma': 0.01; 'kernel': 'rbf'}
15,random_forest,0.9644,1.4,{'max_depth': None; 'n_estimators': 100}
15,knn,0.9644,0.0,{'n_neighbors': 3; 'weights': 'distance'}
15,xgboost,0.9644,0.3,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 100}
16,fuzzy-opf,0.9828,0.5,-
16,svm_rbf,1.0000,0.1,{'C': 10; 'gamma': 'scale'; 'kernel': 'rbf'}
16,random_forest,1.0000,1.4,{'max_depth': None; 'n_estimators': 100}
16,knn,1.0000,0.0,{'n_neighbors': 15; 'weights': 'distance'}
16,xgboost,1.0000,0.2,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 200}
17,fuzzy-opf,0.9219,0.5,-
17,svm_rbf,0.9375,0.1,{'C': 0.1; 'gamma': 0.001; 'kernel': 'rbf'}
17,random_forest,0.9219,1.4,{'max_depth': None; 'n_estimators': 100}
17,knn,0.9219,0.0,{'n_neighbors': 3; 'weights': 'distance'}
17,xgboost,0.9219,0.2,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 100}
18,fuzzy-opf,1.0000,0.5,-
18,svm_rbf,1.0000,0.1,{'C': 1; 'gamma': 'scale'; 'kernel': 'rbf'}
18,random_forest,1.0000,1.5,{'max_depth': 10; 'n_estimators': 100}
18,knn,1.0000,0.0,{'n_neighbors': 7; 'weights': 'distance'}
18,xgboost,0.9800,0.2,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 100}
19,fuzzy-opf,1.0000,0.5,-
19,svm_rbf,0.9762,0.1,{'C': 1; 'gamma': 0.001; 'kernel': 'rbf'}
19,random_forest,0.9762,1.4,{'max_depth': None; 'n_estimators': 100}
19,knn,0.9762,0.0,{'n_neighbors': 3; 'weights': 'distance'}
19,xgboost,0.9762,0.2,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 100}
