run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.739021164021164,0.3650984764099121
0,fuzzy-opf,22,0.478,0.7413011695906433,0.75489417989418,0.12383818626403809
1,opf,-,-,-,0.741087962962963,0.011972427368164062
1,fuzzy-opf,21,0.771,0.6644005847953216,0.741087962962963,0.12207674980163574
2,opf,-,-,-,0.7123677248677249,0.010872364044189453
2,fuzzy-opf,24,0.876,0.7214826281389748,0.7123677248677249,0.14125752449035645
3,opf,-,-,-,0.7373015873015873,0.01220250129699707
3,fuzzy-opf,18,0.374,0.757954014939309,0.7373015873015873,0.10913324356079102
4,opf,-,-,-,0.6470612806526119,0.012694358825683594
4,fuzzy-opf,7,0.428,0.5828635620915033,0.6614462012875326,0.05010199546813965
5,opf,-,-,-,0.6294712475633528,0.013482809066772461
5,fuzzy-opf,19,1.084,0.8330610021786492,0.6294712475633528,0.11103558540344238
6,opf,-,-,-,0.7740697741084738,0.011669397354125977
6,fuzzy-opf,1,1.154,0.7436421425295265,0.7740697741084738,0.030589818954467773
7,opf,-,-,-,0.7804738562091503,0.014083385467529297
7,fuzzy-opf,7,0.955,0.7090234266221108,0.7804738562091503,0.05061817169189453
8,opf,-,-,-,0.731176183923862,0.011693000793457031
8,fuzzy-opf,10,0.234,0.6993786549707602,0.731176183923862,0.059740543365478516
9,opf,-,-,-,0.6903222107556473,0.013348102569580078
9,fuzzy-opf,15,1.172,0.7857075286254853,0.6903222107556473,0.08616948127746582
10,opf,-,-,-,0.7497276688453158,0.011434555053710938
10,fuzzy-opf,6,0.858,0.6812621832358674,0.7497276688453158,0.04475140571594238
11,opf,-,-,-,0.6965112945763101,0.011669158935546875
11,fuzzy-opf,18,0.969,0.8133442265795207,0.6965112945763101,0.1024930477142334
12,opf,-,-,-,0.7465958605664489,0.011730670928955078
12,fuzzy-opf,16,0.840,0.6830255786525137,0.7465958605664489,0.0908348560333252
13,opf,-,-,-,0.6492751486559536,0.012380123138427734
13,fuzzy-opf,34,0.274,0.784990253411306,0.6492751486559536,0.2089252471923828
14,opf,-,-,-,0.8036628540305011,0.011949539184570312
14,fuzzy-opf,7,1.069,0.6855334823988075,0.8036628540305011,0.04974007606506348
15,opf,-,-,-,0.7680555555555556,0.013164997100830078
15,fuzzy-opf,36,1.167,0.7021789248762933,0.7680555555555556,0.22692298889160156
16,opf,-,-,-,0.6413603453077137,0.011110782623291016
16,fuzzy-opf,16,0.549,0.6750609161793373,0.6413603453077137,0.08898472785949707
17,opf,-,-,-,0.7670966632266942,0.012149333953857422
17,fuzzy-opf,19,0.499,0.7167755991285403,0.7670966632266942,0.10822534561157227
18,opf,-,-,-,0.758406432748538,0.012578725814819336
18,fuzzy-opf,38,0.779,0.7790100762527233,0.758406432748538,0.2375481128692627
19,opf,-,-,-,0.7512731481481482,0.012175559997558594
19,fuzzy-opf,34,0.698,0.8255622205022359,0.7512731481481482,0.20684123039245605
