run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.7011487050960735,0.3682734966278076
0,fuzzy-opf,17,0.920,0.7862608932461874,0.7011487050960735,0.09048247337341309
1,opf,-,-,-,0.7080470272904484,0.01234889030456543
1,fuzzy-opf,18,0.226,0.6480263157894737,0.7080470272904484,0.09779834747314453
2,opf,-,-,-,0.6583256036332661,0.011532068252563477
2,fuzzy-opf,22,0.908,0.7240819573443413,0.6583256036332661,0.1305232048034668
3,opf,-,-,-,0.712733426704015,0.013022899627685547
3,fuzzy-opf,35,1.183,0.7638140490114175,0.6667094615624027,0.21966028213500977
4,opf,-,-,-,0.5765046296296297,0.011812210083007812
4,fuzzy-opf,10,1.071,0.7171539961013645,0.5945601851851852,0.061957597732543945
5,opf,-,-,-,0.6470778150441463,0.011775016784667969
5,fuzzy-opf,36,0.532,0.7249183006535947,0.6470778150441463,0.21986722946166992
6,opf,-,-,-,0.7194444444444444,0.01004338264465332
6,fuzzy-opf,4,0.980,0.8273635477582846,0.7194444444444444,0.03707432746887207
7,opf,-,-,-,0.7352095516569201,0.011887311935424805
7,fuzzy-opf,35,1.169,0.7907651072124756,0.7352095516569201,0.21593999862670898
8,opf,-,-,-,0.7327303143479613,0.011858224868774414
8,fuzzy-opf,1,0.702,0.7872632971317182,0.7327303143479613,0.03186392784118652
9,opf,-,-,-,0.7246599211188995,0.013152122497558594
9,fuzzy-opf,28,1.153,0.7550309597523219,0.7392432544522327,0.16579866409301758
10,opf,-,-,-,0.6490740740740741,0.011803865432739258
10,fuzzy-opf,8,0.219,0.8150011466574935,0.6490740740740741,0.053002119064331055
11,opf,-,-,-,0.8099658869395712,0.012969732284545898
11,fuzzy-opf,7,0.940,0.629459422657952,0.8099658869395712,0.04898786544799805
12,opf,-,-,-,0.662251984126984,0.013591527938842773
12,fuzzy-opf,33,1.166,0.6590852130325815,0.662251984126984,0.19382834434509277
13,opf,-,-,-,0.680959342801448,0.013053655624389648
13,fuzzy-opf,13,1.158,0.7303824819401445,0.680959342801448,0.08015775680541992
14,opf,-,-,-,0.7254830294690975,0.012847661972045898
14,fuzzy-opf,21,1.145,0.8117578976034858,0.7046496961357642,0.12256860733032227
15,opf,-,-,-,0.694989209133946,0.011345863342285156
15,fuzzy-opf,10,0.723,0.8192747493734336,0.694989209133946,0.06035923957824707
16,opf,-,-,-,0.629807156780841,0.011760234832763672
16,fuzzy-opf,12,0.731,0.6878501400560224,0.629807156780841,0.06972432136535645
17,opf,-,-,-,0.6766490879977722,0.012112855911254883
17,fuzzy-opf,26,0.705,0.6140752207315674,0.6199030562517405,0.15062928199768066
18,opf,-,-,-,0.8031590413943355,0.012769222259521484
18,fuzzy-opf,5,0.961,0.7732814470817567,0.8031590413943355,0.043468475341796875
19,opf,-,-,-,0.7449675324675324,0.010904788970947266
19,fuzzy-opf,24,1.098,0.8199031074418072,0.7449675324675324,0.13825082778930664
