run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.8668388502354347,0.5334484577178955
0,fuzzy-opf,83,0.915,0.8252193055543947,0.8668388502354347,4.699703693389893
1,opf,-,-,-,0.8319198533969332,0.17255330085754395
1,fuzzy-opf,63,0.920,0.8440541802787731,0.8319198533969332,3.289248466491699
2,opf,-,-,-,0.9166292750093873,0.18308234214782715
2,fuzzy-opf,66,0.226,0.8569996173621345,0.9064894148695272,3.2848939895629883
3,opf,-,-,-,0.8470905114972912,0.1725151538848877
3,fuzzy-opf,20,0.407,0.8716339856309292,0.8470905114972912,0.8111097812652588
4,opf,-,-,-,0.8907286856578327,0.17505240440368652
4,fuzzy-opf,146,0.206,0.8760646215963545,0.9028318602610073,10.513080358505249
5,opf,-,-,-,0.8641373080397471,0.17750167846679688
5,fuzzy-opf,26,1.164,0.8674486763356478,0.8536620109790841,1.0332765579223633
6,opf,-,-,-,0.8489104706209969,0.17146873474121094
6,fuzzy-opf,134,0.532,0.9543952321391346,0.8489104706209969,9.19067931175232
7,opf,-,-,-,0.8439200036075036,0.1728825569152832
7,fuzzy-opf,76,0.272,0.8046464646464647,0.8455235389610389,4.065717935562134
8,opf,-,-,-,0.7932961766330082,0.17134618759155273
8,fuzzy-opf,36,0.211,0.8891260712431522,0.7942012170117329,1.4606037139892578
9,opf,-,-,-,0.8142049963924964,0.17093253135681152
9,fuzzy-opf,3,0.702,0.8877271356863699,0.8142049963924964,0.37632250785827637
10,opf,-,-,-,0.9223354003382641,0.1719064712524414
10,fuzzy-opf,116,0.221,0.8411412131536469,0.9286137400662028,7.37192702293396
11,opf,-,-,-,0.860575080914064,0.16982173919677734
11,fuzzy-opf,70,0.925,0.8895447293096128,0.860575080914064,3.707514524459839
12,opf,-,-,-,0.8225725298093719,0.17220854759216309
12,fuzzy-opf,135,0.233,0.8248422842458144,0.8295169742538163,9.229591131210327
13,opf,-,-,-,0.8811149125665254,0.1710805892944336
13,fuzzy-opf,124,1.166,0.8929923726435355,0.8811149125665254,8.37705135345459
14,opf,-,-,-,0.8820864248810556,0.17128229141235352
14,fuzzy-opf,78,0.973,0.9120140060818027,0.8820864248810556,4.217379093170166
15,opf,-,-,-,0.8464894420470642,0.17700934410095215
15,fuzzy-opf,127,0.379,0.8414910811528982,0.8464894420470642,8.53510046005249
16,opf,-,-,-,0.8189133630597045,0.17560696601867676
16,fuzzy-opf,34,0.723,0.8998944114472207,0.8189133630597045,1.394981861114502
17,opf,-,-,-,0.831048581048581,0.1737222671508789
17,fuzzy-opf,45,0.731,0.8208992463236945,0.8247354497354498,1.9754621982574463
18,opf,-,-,-,0.8010436940833203,0.17138409614562988
18,fuzzy-opf,98,0.705,0.8852671421276752,0.8010436940833203,5.82346510887146
19,opf,-,-,-,0.8435629322382294,0.1709580421447754
19,fuzzy-opf,147,0.836,0.8968616326791478,0.8435629322382294,10.596657752990723
